case_id,category,severity,symptom,topology_note,show_output,expected_fault,osi_layer,concept
C011,DHCP,Critical,All PCs in VLAN 30 (different subnet from the DHCP server) fail to receive an IP address.,DHCP server lives in VLAN10; VLAN30 clients are one router hop away.,"show running-config interface vlan30
interface Vlan30
 ip address 192.168.30.1 255.255.255.0
! no ip helper-address configured","The VLAN30 gateway interface has no 'ip helper-address' pointing to the DHCP server, so DHCP broadcasts never reach it.",Layer 3/DHCP,missing_ip_helper_address
C012,DHCP,Medium,PCs in VLAN 20 receive an IP address but it is unreachable from the rest of the network.,DHCP pool network statement configured with wrong subnet.,"show running-config | section dhcp pool VLAN20
ip dhcp pool VLAN20
 network 192.168.200.0 255.255.255.0
 default-router 192.168.20.1","The DHCP pool network (192.168.200.0/24) does not match the actual VLAN20 subnet (192.168.20.0/24), handing out unusable addresses.",Layer 3/DHCP,dhcp_pool_wrong_network
C013,DHCP,Low,"Server and printer at fixed addresses .1-.10 are randomly handed out to new laptops, causing IP conflicts.",DHCP pool covers .1-.254 but exclusion range was set incorrectly.,"show running-config | include excluded-address
ip dhcp excluded-address 192.168.10.1 192.168.10.1",Only 192.168.10.1 is excluded; the intended range 192.168.10.1-192.168.10.10 (reserved for static devices) was not fully excluded.,Layer 3/DHCP,dhcp_exclusion_range_wrong
C014,DNS,Medium,PC can ping the web server by IP address but 'ping www.netsage.local' fails to resolve.,PC configured to use an unreachable DNS server.,"PC> ping 8.8.8.8
Reply from 8.8.8.8: bytes=32 time=1ms

PC> ping www.netsage.local
Pinging www.netsage.local ... DNS request timed out.

PC> ipconfig
DNS Server: 192.168.99.99","The configured DNS server (192.168.99.99) is unreachable/incorrect, so name resolution fails while raw IP connectivity works.",Layer 7,dns_server_unreachable
C015,DNS,Low,One PC in the lab cannot resolve internal hostnames while every other PC in the same VLAN can.,This PC has a manually typed DNS entry that differs from DHCP-assigned peers.,"PC> ipconfig
DNS Server: 8.8.8.8

(other PCs)
DNS Server: 192.168.10.5 (internal DNS)",This PC is statically configured with a public DNS server instead of the internal DNS server that hosts the .local records.,Layer 7,wrong_dns_server_configured
C016,DNS,Medium,DNS resolves the web server name correctly but the website still does not load in the browser.,"Name resolves to 192.168.30.10, but an ACL on the distribution router blocks port 80 to that host.","PC> nslookup www.netsage.local
Name: www.netsage.local
Address: 192.168.30.10

show access-lists
Extended IP access list 101
 10 deny tcp any host 192.168.30.10 eq 80
 20 permit ip any any","DNS resolution succeeds, but an ACL is denying TCP port 80 to the resolved server IP, so this is not actually a DNS fault.",Layer 4,dns_ok_acl_blocking
C017,DNS,Medium,Internal clients can resolve www.netsage.local but it points to the wrong (old) server IP after a server migration.,DNS server still has a stale A record for the web server.,"show running-config | section dns
ip dns server

ip host www.netsage.local 192.168.30.10","A static DNS host entry still maps www.netsage.local to the old server IP (192.168.30.10) instead of the new one, causing clients to reach the decommissioned host.",Layer 7,stale_dns_record
C018,Routing,High,PC gets an IP but cannot reach a server in VLAN 30; gateway ping works.,R1 has routes to VLAN10 and VLAN20 but VLAN30 network was never added.,"show ip route
C  192.168.10.0/24 is directly connected, Vlan10
C  192.168.20.0/24 is directly connected, Vlan20
! 192.168.30.0/24 not present","There is no route to 192.168.30.0/24 in the routing table, so traffic to VLAN30 is unreachable beyond the local gateway.",Layer 3,missing_static_route
C019,Routing,Medium,Remote branch (192.168.40.0/24) is unreachable even though a static route for it exists.,Static route configured with the wrong next-hop address.,"show running-config | include ip route
ip route 192.168.40.0 255.255.255.0 192.168.1.254

show ip route
S  192.168.40.0/24 [1/0] via 192.168.1.254, inactive","The static route's next-hop (192.168.1.254) is not a valid/reachable neighbor, so the route stays inactive.",Layer 3,wrong_next_hop_static_route
C020,Routing,High,OSPF neighbors on R1 and R2 never form (stuck in EXSTART/DOWN); no routes are exchanged.,"R1 area 0, R2 area 1 on the shared link by mistake.","show ip ospf neighbor
(no output - neighbor table empty)

show ip protocols
Routing for Networks:
 10.0.0.0 0.0.0.255 area 0 (R1)
 10.0.0.0 0.0.0.255 area 1 (R2)","R1 and R2 advertise the shared link in mismatched OSPF areas (area 0 vs area 1), preventing adjacency formation.",Layer 3,ospf_area_mismatch
C021,Routing,Medium,A valid route exists to the destination but traffic is still being silently dropped end to end.,"Correct static route present, but an inbound ACL on the receiving interface denies the traffic.","show ip route
S  192.168.50.0/24 [1/0] via 10.0.0.2

show ip access-lists
Extended IP access list BLOCK_50
 10 deny ip 192.168.10.0 0.0.0.255 192.168.50.0 0.0.0.255
 20 permit ip any any

show running-config interface gi0/1
 ip access-group BLOCK_50 in","Routing is correct, but an ACL applied inbound on Gi0/1 is denying the traffic, which is a security/filtering fault, not a routing fault.",Layer 3/4,route_ok_acl_blocking
C022,ACL,High,"PC1 (192.168.10.10) cannot SSH to the server, but every other PC in VLAN 10 can.",Extended ACL applied to block only PC1 by IP.,"show access-lists
Extended IP access list SSH_BLOCK
 10 deny tcp host 192.168.10.10 any eq 22
 20 permit ip any any",An extended ACL explicitly denies TCP port 22 (SSH) from PC1's specific IP address.,Layer 4,acl_blocking_specific_host
C023,ACL,Medium,An ACL intended to restrict outbound traffic from VLAN20 seems to have no effect at all.,ACL 105 written correctly but applied to the wrong interface/direction.,"show running-config interface gi0/2
 ip access-group 105 out

! Traffic from VLAN20 actually enters gi0/2 inbound, not outbound","ACL 105 is applied in the 'out' direction on Gi0/2, but VLAN20 traffic enters that interface inbound, so the ACL never evaluates it.",Layer 4,acl_wrong_direction
C024,ACL,High,"Users report that ALL traffic through R1, even permitted services, is being blocked after a recent ACL change.","New ACL applied to interface with only deny statements, no explicit permit.","show access-lists
Extended IP access list LOCKDOWN
 10 deny tcp any any eq 23
 20 deny tcp any any eq 21
! no permit statement present -> implicit deny any any","The ACL has no explicit 'permit ip any any' at the end, so the implicit deny-all rule blocks every other type of traffic.",Layer 4,acl_implicit_deny_all
C025,ACL,Medium,"A specific host (192.168.10.50) that should be allowed HTTP access is still being blocked, even though a permit line exists for it.",ACL has a broad deny statement listed before the specific permit statement.,"show access-lists
Extended IP access list WEBACCESS
 10 deny tcp 192.168.10.0 0.0.0.255 any eq 80
 20 permit tcp host 192.168.10.50 any eq 80
 30 permit ip any any",ACLs are processed top-down; the broad deny for the whole 192.168.10.0/24 subnet on line 10 matches first and blocks 192.168.10.50 before the specific permit on line 20 is ever reached.,Layer 4,acl_rule_order_issue
C026,NAT,High,Internal LAN hosts (192.168.10.0/24) cannot reach any internet-simulated server outside the router.,Router has NAT ACL and inside/outside interfaces defined but 'ip nat inside source' overload command missing.,"show ip nat translations
(no translations present)

show running-config | include nat
interface Gi0/0
 ip nat inside
interface Gi0/1
 ip nat outside
access-list 1 permit 192.168.10.0 0.0.0.255","NAT interfaces and the source ACL are defined, but there is no 'ip nat inside source list 1 interface Gi0/1 overload' statement, so no translation actually occurs.",Layer 3/4,nat_overload_not_configured
C027,NAT,Medium,Only some internal hosts can reach the outside network through NAT; others get no response.,NAT source ACL only covers half of the internal subnet.,"show running-config | include access-list 1
access-list 1 permit 192.168.10.0 0.0.0.127

! Hosts .128-.254 are not matched by this ACL","The NAT source access-list only permits the 192.168.10.0/25 half of the subnet, so hosts in the 192.168.10.128/25 range are never translated.",Layer 3/4,nat_acl_incomplete
C028,NAT,Low,External users cannot reach the internal web server via the router's public IP on port 80.,Static NAT configured to the wrong internal port.,"show running-config | include ip nat inside source static
ip nat inside source static tcp 192.168.10.10 8080 203.0.113.5 80","The static NAT entry maps the public port 80 to internal port 8080, but the web server is actually listening on port 80 internally, so the translation points to the wrong port.",Layer 4,static_nat_wrong_port
C029,Wireless,Medium,Laptop shows the correct SSID but fails authentication every time it tries to connect.,AP configured with WPA2-PSK; laptop profile has an outdated saved passphrase.,"AP config:
interface dot11radio0
 encryption mode ciphers aes-ccm
 authentication key-management wpa version 2
! Passphrase set to 'NetSage2026!'

Laptop wireless profile stored passphrase: 'NetSage2020'",The laptop's saved Wi-Fi passphrase is outdated and no longer matches the AP's configured WPA2 passphrase.,Layer 2,wireless_wrong_passphrase
C030,Wireless,Low,"Guest laptops cannot see the 'NetSage-Guest' SSID at all, though staff SSID works fine on the same AP.",Guest SSID broadcast is disabled and mapped to the wrong VLAN.,"show running-config interface dot11radio0.2
 encapsulation dot1Q 99
 ssid NetSage-Guest
  broadcast-ssid disable
 bridge-group 2","The Guest SSID has 'broadcast-ssid disable' set, so it is hidden and does not appear in client scans by default.",Layer 2,wireless_ssid_hidden
C031,Wireless,Medium,"Guest Wi-Fi users can reach the internal file server, violating the intended guest isolation policy.",Guest VLAN 99 should be isolated by ACL from internal VLAN10 server subnet.,"show running-config interface vlan99
interface Vlan99
 ip address 192.168.99.1 255.255.255.0
! no ip access-group applied for isolation","The Guest VLAN (99) SVI has no isolation ACL applied, allowing routed traffic to reach the internal server subnet.",Layer 3,guest_isolation_failure
